,Unnamed: 0,killed_by,killer_name,killer_placement,killer_position_x,killer_position_y,map,match_id,time,victim_name,victim_placement,victim_position_x,victim_position_y,winner,rating_group
34,2245,Grenade,Deathfox7,1.0,420805.4,609274.9,ERANGEL,2U4GBNA0YmlcJd06MAp1d4Q7M5Yy4PYrahIr2JBT9uhhXk6gHSEcIBPisz7z3coU,1916.0,EagleSS670,2.0,421356.8,606756.1,True,1
44,4972,SCAR-L,PoisonMDT,1.0,281820.9,558720.3,ERANGEL,2U4GBNA0YmkouKU7rw6brk7uZamG1dICaLOLV9MMRULojV9v1Y0ApEjG8568AzL-,1679.0,West7cm,2.0,281676.9,557615.6,True,1
45,1578,Bluezone,,,,,ERANGEL,2U4GBNA0YmloUGIumcTO14gr8rgZVexJO_xpcOj0xMlmhrLlJjOYL4g75Nlf53Hw,1962.0,yamahukin,2.0,243426.2,485718.0,True,1
94,284,SCAR-L,Illmy0111,1.0,180234.1,512721.8,ERANGEL,2U4GBNA0YmlxiifTmjHuCGJhLNLL-lhlH9TQh47o-9IZVJIlJDQJmYN2YbSU2_Bx,1854.0,Driftings,2.0,181216.5,513549.2,True,1
147,2495,Down and Out,HiImFrank,1.0,282233.7,475338.4,ERANGEL,2U4GBNA0Yml5t9opndGwDeKjNoARfVrCVQIWxSji9WqktJfXvvA7eZryQpYWuuxM,1824.0,GaryKAI,2.0,271661.3,484678.6,True,1
266,4988,SCAR-L,PoisonMDT,1.0,280472.3,559749.4,ERANGEL,2U4GBNA0YmkouKU7rw6brk7uZamG1dICaLOLV9MMRULojV9v1Y0ApEjG8568AzL-,1783.0,ZXJ5216,2.0,280211.1,559646.4,True,1
282,1092,Down and Out,Toronto_Edision,1.0,320935.6,510978.1,ERANGEL,2U4GBNA0YmnmvI29GR080nJ5U4oZyrJ2kJqz7BeQrwDdx68BbncOZ_5DnysRn2Ca,1767.0,EncoreOnceMore,2.0,318386.9,511889.4,True,1
307,1905,Kar98k,Blesstfup,1.0,658955.3,471802.2,ERANGEL,2U4GBNA0Ymmj5ChhNizFBQNzal-aacFtZr3MhwiNw8qBDJBRobgDHZqOnyiohGR6,1678.0,Aeloh98k,2.0,649633.9,460224.8,True,1
344,1369,M416,iSuK12,1.0,142606.4,452039.6,ERANGEL,2U4GBNA0YmnIQQesqcucTHDFVqlXEAUiUHhJp3yec6c0hzQHABUNJuJZ21mrZjZn,1967.0,IB_E46M,2.0,144006.2,449925.6,True,1
355,4114,Down and Out,Ares_Wang12333,1.0,477963.6,371242.4,ERANGEL,2U4GBNA0Ymkftyau6Av9xdA4QmGtUC3doKzOLyUp5wwLSkyaC0eJXtC9uBl7Mzmx,1700.0,Vashx,2.0,493186.1,384427.5,True,1
375,1847,Down and Out,Blesstfup,1.0,661589.5,465149.0,ERANGEL,2U4GBNA0Ymmj5ChhNizFBQNzal-aacFtZr3MhwiNw8qBDJBRobgDHZqOnyiohGR6,1955.0,UrbanSnake,2.0,658512.8,461169.9,True,1
389,2503,Kar98k,Mr--666,1.0,279281.6,475944.5,ERANGEL,2U4GBNA0Yml5t9opndGwDeKjNoARfVrCVQIWxSji9WqktJfXvvA7eZryQpYWuuxM,1798.0,17jigeni17,2.0,271677.0,484179.1,True,1
391,6468,AKM,soieowl,1.0,276149.4,253948.6,ERANGEL,2U4GBNA0YmlMqUy26Nx8Rmm3UjhNVwg6rFwjs4FGnjp83bGmwSELWoDpqkrt6FPZ,1877.0,NirvashEnd,2.0,274127.3,254196.3,True,1
397,1858,DP-28,MysterE,1.0,664297.3,465228.6,ERANGEL,2U4GBNA0Ymmj5ChhNizFBQNzal-aacFtZr3MhwiNw8qBDJBRobgDHZqOnyiohGR6,1955.0,BYCBOT,2.0,659327.7,460044.7,True,1
465,3903,Down and Out,C-de-ti-0315,1.0,311553.8,134601.1,ERANGEL,2U4GBNA0YmkDstXLYHK5B7Jq1QzLWJ-HeVx4TzVSkV3lpPTNiKcc1WXBp3-XkQZp,1751.0,Gilleydakidd,2.0,318635.6,129119.3,True,1
499,5166,AKM,wushenfa,22.0,524908.4,250843.6,ERANGEL,2U4GBNA0YmnuJ2AtZa4s3YxcAHVDtQbra_TjEHEAjHBRpwb8-A_bhsdG5kFCzvK_,223.0,WuLiu5566,2.0,524831.6,250908.5,True,1
505,5230,AKM,Zhang-Ze-Sen,1.0,622377.3,396012.0,ERANGEL,2U4GBNA0Yml20grMM4GD62e8xWDcMhw91ITl2fbDm2AIPx37-WAHyGXsHqsEJgmU,1797.0,Critshappen,2.0,628413.2,399004.2,True,1
579,560,Down and Out,Teajohn,1.0,391571.3,654292.6,ERANGEL,2U4GBNA0YmnL2IDzaNwyjj2JugGFn9rAVCHGV0UvWrWIovQDXsbi9jslN0alnHjy,1824.0,Chubby_Cox,2.0,403164.2,645289.1,True,1
604,7005,M16A4,A300_Sunglasses,1.0,507395.5,258317.8,MIRAMAR,2U4GBNA0Ymk1Jt6GjNIWPblco_2J6IKXz_yq5seSwKYZDaeFd2S90A1rG-cBWFKe,1805.0,shoter_jerry,2.0,513283.3,251015.7,True,1
613,6361,Bluezone,Im-Gnaes,1.0,647949.7,376035.9,ERANGEL,2U4GBNA0YmmNda7rFfvn-ZVSnpD4e14wBCKCdD6h2Pr5-Au61Oj4yf48-LIn2XhA,1872.0,retingjj,2.0,648737.5,370807.3,True,1
670,5015,M416,fengxifengxu,1.0,283205.8,558022.4,ERANGEL,2U4GBNA0YmkouKU7rw6brk7uZamG1dICaLOLV9MMRULojV9v1Y0ApEjG8568AzL-,1795.0,ALEXLN,2.0,282070.1,556785.6,True,1
683,1506,Down and Out,,,,,ERANGEL,2U4GBNA0YmltdlEYw5AmXmDdUW5i2vyhBrlQeNFBgmYyzDpsc787A_hENiNlx6I5,1519.0,WQEDDDFAS,2.0,145298.9,388038.3,True,1
783,3521,M416,Arvinbey,1.0,501603.1,648154.9,ERANGEL,2U4GBNA0YmmyNWABCuuEotdFnf2pYAu3C5f-JJ9Qv-UyQVaC43ykt3LYzYU6W2Et,1885.0,HKCon_Dom001,2.0,505921.5,643210.9,True,1
824,6978,Down and Out,qingqingkings,6.0,642642.7,241914.0,MIRAMAR,2U4GBNA0Ymk1Jt6GjNIWPblco_2J6IKXz_yq5seSwKYZDaeFd2S90A1rG-cBWFKe,443.0,Rainyushen,2.0,641669.9,241026.2,True,1
825,2748,Down and Out,Clanwolf,1.0,420308.8,466143.6,ERANGEL,2U4GBNA0Ymk7iBtHUx6-_dZyjrvKVPMSmiZKzhovvtZ6clOi9vMdQGJIxPEv4HO6,1874.0,XEN0-,2.0,424453.3,468719.1,True,1
872,3164,Bluezone,,,,,ERANGEL,2U4GBNA0Ymm_5InGu4XxmbWrPJjpsdwDKldtKteYWNAiZwf0kk_eKg6SGWDmiikq,1956.0,KRONIK-_-SMOKE,2.0,467370.9,318057.3,True,1
922,4126,M24,Tinerg,1.0,478088.8,374761.3,ERANGEL,2U4GBNA0Ymkftyau6Av9xdA4QmGtUC3doKzOLyUp5wwLSkyaC0eJXtC9uBl7Mzmx,1751.0,Lust676,2.0,480544.6,380894.9,True,1
947,3334,M416,INLine11,1.0,382188.7,652423.5,ERANGEL,2U4GBNA0YmkbaxRIRrLkucLQeELe8PYIRW3ZTi14fb52Wekl7vpPELmehRhsccYG,1789.0,Gaooninja,2.0,372918.1,647580.1,True,1
948,5914,Grenade,DeLei-H,3.0,0.0,0.0,ERANGEL,2U4GBNA0YmmB9L7Ft8k_V5zo5bx1lULaksuMig43hz2WiJI2Srn46w8mB0cNMeSJ,1847.0,Mafia_Dipp,2.0,583839.1,636956.6,True,1
1019,4329,S12K,chouge258,19.0,441785.5,338943.1,ERANGEL,2U4GBNA0Yml_5G8Drb2z19mFJ0XQ3w6WRVVg1eKkzSZTmta36z3rTTyDNxT3C_WU,307.0,Leonanan,2.0,441807.9,338716.3,True,1
1082,3247,Down and Out,masteryifan,1.0,643484.6,185718.3,ERANGEL,2U4GBNA0YmlsmhWI_uk1n90_H682IZo6muWLdaUTCs05xIT-j7x0Uqea8n6G4q4i,1838.0,ImmortalLx,2.0,647600.4,180786.7,True,1
1106,1106,Down and Out,Toronto_JackMa,1.0,324418.0,514533.8,ERANGEL,2U4GBNA0YmnmvI29GR080nJ5U4oZyrJ2kJqz7BeQrwDdx68BbncOZ_5DnysRn2Ca,1767.0,sortiedog,2.0,322706.4,514567.9,True,1
1137,2609,Bluezone,frekinbish,6.0,559421.0,246888.7,ERANGEL,2U4GBNA0YmlrMGbGieGLnoMfRvnSTMDi_db1WhYrVEfERMho7tIvimp3SZVIvxft,1659.0,Clincher07,2.0,559107.3,248068.0,True,1
1151,1083,Down and Out,tanyangwudi,1.0,486249.4,601901.4,ERANGEL,2U4GBNA0Ymkoxr2BYKn-rNaRztbwuI_vg9q1ls65L42rey10uL1Qw2gSP72IZPMk,1735.0,SSS109,2.0,490525.7,593473.2,True,1
1157,4269,M416,LZHAWSS,1.0,550471.0,574369.7,ERANGEL,2U4GBNA0Ymllc_6Eh-c0jqGSW3HCKj_KixPEGv3zEg-XsZyUhbwtCWd6i-fPN7ag,1818.0,baizhen,2.0,549723.6,574352.4,True,1
1224,800,Punch,KUAILEDEWO,4.0,670456.7,450605.3,ERANGEL,2U4GBNA0YmmEUK5MTLyr6AfVvoPX1txbeD-jND4VXYtMmoXuatMBzW67F6i6TzwI,172.0,WBWLZ-zd,2.0,670387.6,450565.1,True,1
1230,3956,SCAR-L,Fengsir0302,12.0,398068.5,473197.2,ERANGEL,2U4GBNA0YmnnTkwTvduuDTvxNFqqQQfOkAdwyDSBGA2B0OZqDWkOL5hIt84vmDgN,1363.0,Van_WYZ,2.0,385389.3,493382.9,True,1
1306,6922,M416,Sz32,1.0,538958.1,236100.4,ERANGEL,2U4GBNA0YmmIxbJL37qDrRDRIz-J5zFYcAFZi9szltH9Eg0-FNv_70KrOtW4aMxD,2058.0,MM-Survive,2.0,537958.7,235563.7,True,1
1346,2350,Bluezone,,,,,ERANGEL,2U4GBNA0Ymm4vcRsQ1DQDPbaiK6c_0jM8aQ2SVRHMnNGFJdPGXOzGl0hAn45hkMK,2184.0,cuipeng020,2.0,149604.5,596589.4,True,1
1459,1954,Tommy Gun,SG_ong,1.0,388458.9,278587.2,ERANGEL,2U4GBNA0YmkJt4dyUUT94MOYESuKm2MQu1eh08EFdbeeGClsVzdp38FeLRv2PSVm,121.0,T-I-C_88,2.0,388623.7,278671.7,True,1
1469,1114,Down and Out,Toronto_Edision,1.0,318993.6,510673.3,ERANGEL,2U4GBNA0YmnmvI29GR080nJ5U4oZyrJ2kJqz7BeQrwDdx68BbncOZ_5DnysRn2Ca,1762.0,YUNGNIGE,2.0,317324.4,511276.0,True,1
1481,6673,SCAR-L,Swenka,1.0,212461.4,463426.3,ERANGEL,2U4GBNA0YmmJfFpXZ-QZQs8br_sVYD6XGe3CDoGgnAM66kAufAzFoILJ0LgfQMq0,1896.0,lolFranco,2.0,211041.5,464095.7,True,1
1572,3086,S1897,Pig_Pig_Peng,20.0,442662.1,337533.2,ERANGEL,2U4GBNA0YmldsmcWI8PBcmvfdJUtUv9LuMt1MAUqG9aDvVtzvPIGelkR4_3xjGY3,168.0,MazTF,2.0,443185.3,337418.9,True,1
1650,2542,Mini 14,HHHHHHYYYYYY,1.0,281973.1,471418.5,ERANGEL,2U4GBNA0Yml5t9opndGwDeKjNoARfVrCVQIWxSji9WqktJfXvvA7eZryQpYWuuxM,1761.0,LOVEyueyuer,2.0,271490.2,483905.9,True,1
1670,654,SCAR-L,ConnorDaWhiteBoy,1.0,693733.8,257157.9,ERANGEL,2U4GBNA0YmnZDcOwRYKzxWhbr5Jaxxjhp0cRvsI40iOQJdZyGBJb_mcf0ZjzNRGD,1827.0,Tazmily,2.0,685945.6,259235.2,True,1
1674,760,UMP9,BurgeonYe,1.0,241448.6,452060.4,ERANGEL,2U4GBNA0YmmEUK5MTLyr6AfVvoPX1txbeD-jND4VXYtMmoXuatMBzW67F6i6TzwI,1964.0,K0Drew,2.0,240636.5,451895.6,True,1
1685,1946,Down and Out,RX-JIANG,1.0,395072.9,135601.3,ERANGEL,2U4GBNA0YmkJt4dyUUT94MOYESuKm2MQu1eh08EFdbeeGClsVzdp38FeLRv2PSVm,1795.0,SeththeRipper,2.0,406248.1,138302.7,True,1
1757,2651,Vector,PizzaPaulMiller,11.0,553264.4,285182.4,ERANGEL,2U4GBNA0Ymn4K68JYbLzcXh5S2aPoQe1oJzDsd_lyNUfRddt9kkCPLgme76kr_A9,1347.0,Booper312,2.0,553014.4,285105.3,True,1
1798,2910,M416,Battlefield-4,1.0,475007.6,467566.9,MIRAMAR,2U4GBNA0YmkvCmIao1jSik4oZSUnd8bzeMgA1H7GSnDkUaEJqNxb66ia2M1H60rJ,1878.0,xiaojunkai,2.0,476683.5,471632.5,True,1
1830,5809,M416,XFHeiGod,1.0,588221.6,211129.1,ERANGEL,2U4GBNA0Ymn4I819TCOZUmrkpodZU34WCjWNhi7ynOl4mSWUtxFC8Gi1FEtUufT-,1876.0,T-bagggg,2.0,592167.9,214429.4,True,1
1837,3687,SCAR-L,SeregaSwag,1.0,289737.4,589496.6,MIRAMAR,2U4GBNA0Yml0XDizIVK4IxDWB75tIG-FBMzmyEP_fBUj1UAIBJN9VCG7X49NaJ0W,1824.0,HotNoods,2.0,290500.0,589649.6,True,1
1878,6757,M16A4,Duan-le,1.0,633123.3,367674.2,ERANGEL,2U4GBNA0YmkO4k9nFC5ZMd_WV4qDWvnz6FLVFJ_qoN5ss38_nDM_HWzEWa3-Hkvg,1953.0,MirrorMaze,2.0,633145.3,369697.9,True,1
1884,147,Mk14,651651646,1.0,411564.1,350015.9,MIRAMAR,2U4GBNA0Yml3HEnAb5HSfMbBgZnnKeFS1Nyxgm5XowlAkEtb1WUYEdfEOe_bXvR0,1238.0,longhhfff,2.0,501248.5,335640.2,True,1
1890,4853,SCAR-L,Nocurtain,1.0,134084.3,331378.3,ERANGEL,2U4GBNA0YmlB0q86A8fUl8JfLjpaTo2OMObs4sDXSwl_z8yF6lNkr8gfwHqYnJQJ,1679.0,Nox_Kaan,2.0,132228.0,340326.6,True,1
1899,2658,Down and Out,kromaks,5.0,571412.1,347757.3,ERANGEL,2U4GBNA0Ymn4K68JYbLzcXh5S2aPoQe1oJzDsd_lyNUfRddt9kkCPLgme76kr_A9,1675.0,Buckslayer,2.0,551367.0,336537.7,True,1
2008,3400,Down and Out,wqc1725054,1.0,514202.6,497808.8,ERANGEL,2U4GBNA0YmkpfMEoYocYZGCkLIZxf_dSclL_3Uka55GkexzQT_BfyFFNs0d766rH,1905.0,BirdCorn,2.0,513906.2,497378.6,True,1
2068,1784,Down and Out,muteki_ninja,4.0,627670.1,608087.9,ERANGEL,2U4GBNA0YmkAe0g5_7ZyvVWZ4D_2Tmvl41s103OU7KHR-uOozlEs7lUSiNOVk9qD,2184.0,ChickenCao,2.0,628003.6,607919.7,True,1
2072,6026,M416,EVEN1982,1.0,347561.1,661774.9,ERANGEL,2U4GBNA0YmkjIvgdQAAyeZk0ZnYEpNtpJODztcsiH83QHqhfGTN1jSPP1lzCb4Jv,1818.0,chrissale,2.0,336129.8,657397.2,True,1
2109,6035,Grenade,nimiei,10.0,468256.2,646580.4,ERANGEL,2U4GBNA0YmkjIvgdQAAyeZk0ZnYEpNtpJODztcsiH83QHqhfGTN1jSPP1lzCb4Jv,315.0,christlian,2.0,464833.3,650768.4,True,1
2155,6920,Down and Out,Sz32,1.0,539099.3,235970.5,ERANGEL,2U4GBNA0YmmIxbJL37qDrRDRIz-J5zFYcAFZi9szltH9Eg0-FNv_70KrOtW4aMxD,2058.0,LA-Survive,2.0,537863.6,235477.9,True,1
2162,4585,M16A4,EyeK0n,1.0,602473.8,263391.3,ERANGEL,2U4GBNA0YmnI8sBpN1d7iOn4qfI2KPi85kLkMnaj_eVTWN4euC5RcLf96wRQlKOI,1860.0,zLeoo,2.0,603728.9,252787.8,True,1
2202,352,Bluezone,,,,,ERANGEL,2U4GBNA0YmlxiifTmjHuCGJhLNLL-lhlH9TQh47o-9IZVJIlJDQJmYN2YbSU2_Bx,1650.0,YowyyCpone,2.0,165597.2,539061.9,True,1
2229,795,SCAR-L,BlindUberDriver,1.0,240217.7,449709.6,ERANGEL,2U4GBNA0YmmEUK5MTLyr6AfVvoPX1txbeD-jND4VXYtMmoXuatMBzW67F6i6TzwI,1966.0,C54785169,2.0,239996.9,449845.6,True,1
2247,2010,M416,HUAZIDIEDIE,1.0,566968.1,244333.2,MIRAMAR,2U4GBNA0YmmGH1I8WFVMw7sv8wSx0Ln8CnZ74JHPXcRUu4y8429D-2bOMw41cYZ5,1148.0,diggy008,2.0,568637.3,244456.2,True,1
2258,1001,Grenade,Dongkq,1.0,486950.2,595540.6,ERANGEL,2U4GBNA0Ymkoxr2BYKn-rNaRztbwuI_vg9q1ls65L42rey10uL1Qw2gSP72IZPMk,1747.0,aibenben,2.0,493347.8,595870.4,True,1
2261,4731,Down and Out,AresForGodofwar,23.0,399063.5,286283.6,ERANGEL,2U4GBNA0Ymm0xKIivZQMUCPNnY06OPootjDdM0RtAL61KsDLeIIm8bS2hbaOZfZd,255.0,NongkuaNi,2.0,399912.3,285589.8,True,1
